Name,Version,Notes,Type,InstallBoth,ZipContentToRun,UrlFor32Bit,UrlFor64Bit,IndirectUrlFor32Bit,IndirectUrlFor64Bit,HashFor32Bit,HashFor64Bit,ValidExitCodes,PreInstallMessage,PostInstallMessage,InstallerArguments,HeadersToAdd,AppPage
DotNet471DevPack,4.7.1.20171013," installs the .NET Framework 4.7.1, the .NET 4.7.1 Targeting Pack and the .NET 4.7.1 SDK
http://go.microsoft.com/fwlink/?LinkId=852105",exe,,,http://go.microsoft.com/fwlink/?LinkId=852104,,,,,,,,,,,https://msdn.microsoft.com/en-us/library/5a4x27ek(v=vs.110).aspx
DotNetCoreSdk,2.1.4.0,https://github.com/dotnet/core/blob/master/release-notes/download-archive.md,exe,,,https://download.microsoft.com/download/1/1/5/115B762D-2B41-4AF3-9A63-92D9680B9409/dotnet-sdk-2.1.4-win-x86.exe,https://download.microsoft.com/download/1/1/5/115B762D-2B41-4AF3-9A63-92D9680B9409/dotnet-sdk-2.1.4-win-x64.exe,,,57703986a5c7eea8ceee265ce206a047e85dec5c698ad570df74b68cbfed36026bf70aa454924ec94be4d37ff492c76716beb23e12ed98816e5cb8e25eeeff0b,10309b343be6dc51b04d09ed97035ddaabe250685e1799fec8a0d3f7f34ea77dddc1d742544320c21bacfa4a2c27678d262540ecf2cd69dad354a8ad207f388d,,,,/passive,,https://www.microsoft.com/net/download/windows
Fiddler4,4.6.20172.31233,,exe,,,https://www.telerik.com/docs/default-source/fiddler/fiddlersetup.exe,,,,,,,,,/S,,https://www.telerik.com/download/fiddler
FileMenuTools,7.5.0.0,,exe,,,http://www.lopesoft.com/fmtools/FileMenuTools-setup.exe,,,,9858abd17b83f7d13aa8c9beead2f299,,,,,,,https://www.lopesoft.com/index.php/en/download/filemenu-tools
FileZilla,3.31.0.0,,exe,,,http://sourceforge.net/projects/filezilla/files/FileZilla_Client/3.31.0/FileZilla_3.31.0_win32-setup.exe/download,http://sourceforge.net/projects/filezilla/files/FileZilla_Client/3.31.0/FileZilla_3.31.0_win64-setup.exe/download,,,da984f2ca362c93984af1eacb0f2c15841f4f6c7bdfacbf94d19eb9f6b01224973977c3ffe66156cf343af4d859ab14e1231b95bc9d3301f94edecd15ab84d5c,ce07d3e0e315b917dc98cbfcaff570a03eb73c50f4d62af20531aec92ab234f38edd48ec54a66825f235061c106700d8d5799ba90558d65fd60135e6eed3944b,,,,/S,,https://filezilla-project.org/download.php?show_all=1
FlashPlayerPlugin,28.0.0.161,,msi,,,https://fpdownload.adobe.com/pub/flashplayer/pdc/28.0.0.161/install_flash_player_28_plugin.msi,,,,,,,,,/passive /norestart REMOVE_PREVIOUS=YES,,https://www.adobe.com/software/flash/about/
FlashPlayerPluginAX,28.0.0.161,,msi,,,https://fpdownload.adobe.com/pub/flashplayer/pdc/28.0.0.161/install_flash_player_28_active_x.msi,,,,,,,,,/passive /norestart REMOVE_PREVIOUS=YES,,https://www.adobe.com/software/flash/about/
foobar2000,1.3.17.0,,exe,,,,,"http://www.foobar2000.org/download
(?s).+<h2>Latest stable version</h2>[\r\n\s]*Download <a href=""/getfile/([^""]+)"">foobar2000.+
http://www.foobar2000.org/files/$1",,,,,,,,,http://www.foobar2000.org/download
FoxitReader,8.3.2.25013,,exe,,,http://cdn01.foxitsoftware.com/pub/foxit/reader/desktop/win/8.x/8.3/en_us/FoxitReader832_enu_Setup_Prom.exe,,,,,,,,,,,http://cdn01.foxitsoftware.com/pub/foxit/reader/desktop/win
FreeDownloadManager,5.1.34.6885,http://www.freedownloadmanager.org/board/viewtopic.php?f=1&t=17363,exe,,,http://dn2.freedownloadmanager.org/5/5.1-latest/setup_x86.exe,http://dn2.freedownloadmanager.org/5/5.1-latest/setup_x64.exe,,,,,,about to install FreeDownloadManager; disable the network now to prevent a phone home browser launch...,done installing FreeDownloadManager; re-enable to network now...,,,http://www.freedownloadmanager.org/download.htm
Freemind,1.0.1,,exe,,,http://sourceforge.net/projects/freemind/files/freemind/1.0.1/FreeMind-Windows-Installer-1.0.1-max.exe,,,,,,,,,,,http://freemind.sourceforge.net/wiki/index.php/Main_Page
gimp,2.8.22.0,,exe,,,https://download.gimp.org/pub/gimp/v2.8/windows/gimp-2.8.22-setup.exe,,,,8e54225029a44ab6ef1fde09686fec7b,,,,,/SP-,,https://www.gimp.org/downloads/
gimp-help,2.8.2.0,,exe,,,https://download.gimp.org/pub/gimp/help/windows/2.8/2.8.2/gimp-help-2-2.8.2-en-setup.exe,,,,,,,,,,,
git,2.16.2.0,https://gitforwindows.org/,exe,,,https://github.com/git-for-windows/git/releases/download/v2.16.2.windows.1/Git-2.16.2-32-bit.exe,https://github.com/git-for-windows/git/releases/download/v2.16.2.windows.1/Git-2.16.2-64-bit.exe,,,c7fa0a06385114b695b604490b444133899e4322bd416bd035007fab122128c4,07e82be14e29d4f0c08ab0fbc06fcc8eb0fe01aa75dee7bf6afa37784e0ecb3c,,,,/DIR=C:\tools\git /SP-,,https://github.com/git-for-windows/git/releases
GitKraken,3.3.4.0,,exe,,,https://release.gitkraken.com/win32/GitKrakenSetup.exe,https://release.gitkraken.com/win64/GitKrakenSetup.exe,,,,,,,don't forget to 'fix' the auto update 'feature'...,/S,,https://www.gitkraken.com/download
GoogleChrome,0.0.0.0,,exe,,,https://dl.google.com/tag/s/appguid%3D%7B8A69D345-D564-463C-AFF1-A69D9E530F96%7D%26iid%3D%7B83023B8A-F9D1-AFCA-E731-6194458ABA7F%7D%26lang%3Den%26browser%3D4%26usagestats%3D0%26appname%3DGoogle%2520Chrome%26needsadmin%3Dprefers/update2/installers/ChromeSetup.exe,https://dl.google.com/tag/s/appguid%3D%7B8A69D345-D564-463C-AFF1-A69D9E530F96%7D%26iid%3D%7B83023B8A-F9D1-AFCA-E731-6194458ABA7F%7D%26lang%3Den%26browser%3D4%26usagestats%3D0%26appname%3DGoogle%2520Chrome%26needsadmin%3Dprefers%26ap%3Dx64-stable/update2/installers/ChromeSetup.exe,,,,,,,,,,https://enterprise.google.com/intl/en_version/chrome/chrome-browser/
Handbrake,1.0.7.0,,exe,,,https://handbrake.fr/rotation.php?file=HandBrake-1.0.7-i686-Win_GUI.exe,https://handbrake.fr/rotation.php?file=HandBrake-1.0.7-x86_64-Win_GUI.exe,,,b35000df800b522bb48d0e8991fda009015e9335835977513850e35eb777c9d5,3d63e96ba3e0e538d6d7fce86070fa5621b2bcd89123d53d25bbe625b7e7c4ba,,,,,,https://handbrake.fr/downloads.php
iDrive,6.7.1.6,,exe,,,https://www.idrive.com/downloads/IDriveWinSetup.exe,,,,,,,,,,,https://www.idrive.com/downloads/version_win.js
IntelliJIdeaCommunity,2017.3.4.0,current build: 173.4548.28,exe,,,https://download.jetbrains.com/idea/ideaIC-2017.3.4.exe,,,,9d13fb36f6a2cd83097cf1093bf472a7dbac2894add29e035b46469110846467,,,,,,,https://www.jetbrains.com/idea/download/index.html
IrfanView,4.51.0.0,,exe,,,http://irfanview.info/files/iview451_setup.exe,,,,0a5400988954ec933edac01b8822f9937bb0b6bf2b1337b69cb3347bca375db2,c4cac895dbc4a3c31565c3947d48949a7eb611696c1d4fde0161710c35460e6c,,about to install IrfanView; disable the network now. . .,done installing IrfanView; you can re-enable to network now. . .,,Referer: http://irfanview.info/files/iview451_setup.exe,http://www.irfanview.com/
IrfanViewPlugins,4.51.0.0,,exe,,,http://www.irfanview.info/files/iview451_plugins_setup.exe,,,,25fcdd3a7a52c505a827505a28cc93b2b7729559209e21f447d9c855a279279b,19c3ff7168ec96972cd4ed5c8ce79c320392c6e94fd2ca024fc78b07d6953442,,,,,Referer: http://www.irfanview.info/files/irfanview_plugins_451_setup.exe,
iSpy,6.9.8.0,,zip,,iSpySetup.exe,http://ispyrtcdata.blob.core.windows.net/downloads/iSpy_6_9_8_0.zip,http://ispyrtcdata.blob.core.windows.net/downloads/iSpy64_6_9_8_0.zip,,,,,,,,,,http://www.ispyconnect.com/download.aspx
jdk8,8.0.161.0,"make sure download url is from edelivery.oracle.com, for the headers stuff to work",exe,TRUE,,https://edelivery.oracle.com/otn-pub/java/jdk/8u161-b12/2f38c3b165be4555a1fa6e98c45e0808/jdk-8u161-windows-i586.exe,https://edelivery.oracle.com/otn-pub/java/jdk/8u161-b12/2f38c3b165be4555a1fa6e98c45e0808/jdk-8u161-windows-x64.exe,,,91af93793e9ffb37696a1fccb0a037ba4fe6b61eb43fe1471d53da78cfaddf96,261a0adb39c0ac2ad34aa0b5d3cfc924b801d4369fc2d587c3eae6a6af40d516,,about to install JDK; disable the network now. . .,done installing JDK; you can re-enable to network now. . .,,Cookie: oraclelicense=accept-securebackup-cookie,http://www.oracle.com/technetwork/java/javase/downloads/index.html
